business_id,name,stars,review_count,categories,open
h4IRxYZVDRheLduKfnMDkA,The 201,4.5,2,Nightlife ; ,FALSE
fRYyVkbsiUntbUTCItwVeA,Springfield Beer Distributor,4,11,Food ; Beer  Wine & Spirits ; ,TRUE
JY576sTpB3ljay2IAajZ2w,Milano Market,4,76,Food ; Grocery ; Delis ; Restaurants ; ,TRUE
Q-aST5Z92-l8yq_NkbX7aQ,Ithaca College,5,5,Colleges & Universities ; Education ; ,TRUE
X9OB8N7ZlmMlncHzeO_pmg,Buy the Book,3,3,Food ; Shopping ; Books  Mags  Music and Video ; Internet Cafes ; Bookstores ; ,TRUE
8Q5YPzkOmfVIvZeldC9o4Q,Enterprise Rent-A-Car,1,7,Hotels & Travel ; Car Rental ; ,TRUE
mStLDG6jwFG_0qeLUJKmZw,Urban Jewelers,4,3,Shopping ; Jewelry ; ,TRUE
WC6y30BJZ8CLjJXDL_jaKg,T & K's Soul Food Kitchen,4,6,Soul Food ; Restaurants ; ,TRUE
U-S4SIklb8vc4fLkoVPTCA,Sullo & Sullo  LLP,3,7,Professional Services ; Lawyers ; ,TRUE
oB0ogXCEgNOv1qPdDXUtnQ,Avidity Restaurant Ultra Lounge,3,6,Bars ; American (New) ; Nightlife ; Lounges ; Restaurants ; ,TRUE
QbmyoM98Wfl015RQ8JK1qA,Campus Cruiser at USC,4,7,Local Services ; Automotive ; ,TRUE
iD6RCiqdOsjGGaQKG356zA,LA Bicycles,3,33,Sporting Goods ; Bikes ; Shopping ; ,TRUE
xbEoDp0TttnIl7BiNJWVUQ,HuHot Mongolian Grill,3.5,5,Mongolian ; Restaurants ; ,TRUE
4L8sk1KU1tsHEVImKgGv8Q,Kyrouac Jeffrey MD,5,3,Doctors ; Health and Medical ; Internal Medicine ; ,TRUE
OH0LxbsALqY9vk5dMKCZ3g,Puccini Hair Design,4,11,Hair Salons ; Tanning ; Beauty and Spas ; ,TRUE
CrjZoiaRdFivE1esbkQ7sw,Sharon's Hair Salon,4,3,NA,TRUE
cgoq8ACyJrSG1OBWcsKEUA,Srida Thai Cuisine,4,32,Thai ; Restaurants ; ,TRUE
oidBvZouxEal1NWe5ARrVw,Mehak Cuisine,3.5,14,Indian ; Restaurants ; ,TRUE
dlN9tXw24o4gcREvSGNkgQ,Rocky Mountain Pizza Company,3,93,Nightlife ; Bars ; Pizza ; Sports Bars ; Restaurants ; ,TRUE
MnThD5q-m9oLigW5SoWMJQ,Khalil's,3.5,3,Mediterranean ; Restaurants ; ,TRUE
3k4K6l7SP7B4fzq9KpHy0A,Papa John's Pizza,3.5,3,Italian ; Pizza ; Restaurants ; ,TRUE
0ttf8ZaXC_67Tv1Gx47WBQ,Kendall Hotel,4,37,Hotels & Travel ; Event Planning & Services ; Hotels ; ,TRUE
EHMx2IhI-_ooHQo0N-AnHA,Svntn Below,3,4,Bars ; American (New) ; Nightlife ; Lounges ; Restaurants ; ,FALSE
QhAPtrNAliEQG-kFH9stCg,A New Leaf,4.5,3,Shopping ; Flowers & Gifts ; Nurseries & Gardening ; Florists ; Home & Garden ; ,TRUE
Lp32rSc3OATt1P0Upa4Jxg,Parthenon Greek American Grill,3.5,22,Greek ; Mediterranean ; Restaurants ; ,TRUE
cvvFEEEkZNyDbNy8UB6esw,Google Inc,3,2,NA,TRUE
ui-X3rHtu8t6eVTEXx4bfg,Daryl Hoffman  MD,4,9,Doctors ; Health and Medical ; Cosmetic Surgeons ; ,TRUE
qTC7mSF4mdzUYRR9mdKTeQ,LensCrafters,3.5,6,Shopping ; Eyewear & Opticians ; ,TRUE
PBqjmOB7Yjti3cFqy8-Ctw,Cubberley Cafe,3.5,10,Cafes ; Sandwiches ; Restaurants ; ,TRUE
t8xAkCfZolJu3bvGk4C8_g,Lawrence Animal Hospital,1,2,Veterinarians ; Pets ; ,TRUE
81IjU5L-t-QQwsE38C63hQ,The Back Abbey,4,756,Burgers ; Gastropubs ; Restaurants ; ,TRUE
o2nvKsqafexXX2OHG6hKXg,UCLA Ackerman Grand Ballroom,5,2,Event Planning & Services ; Party & Event Planning ; ,TRUE
ErMFay-6o83QB2P1k4ALAg,1020 Bar,3.5,66,Dive Bars ; Bars ; Nightlife ; ,TRUE
2fyzojctEFmSmJZNzI1g4g,Art Bar,2,3,Nightlife ; ,TRUE
LaW34gZqLnWjiWF8pl-tvg,EveryWing's Good,4.5,3,Chicken Wings ; Restaurants ; ,TRUE
gclB3ED6uk6viWlolSb_uA,Cafe 3,2,9,Cafes ; Restaurants ; ,TRUE
aIYUBP7zfZ2t0mnx6o62vg,Actors Headshots Los Angeles,5,2,Photographers ; Event Planning & Services ; ,TRUE
G3-STn8vhQXsPObIqlBGPw,Ramada Inn-Ithaca-Airport,2.5,10,Hotels & Travel ; Restaurants ; Event Planning & Services ; Hotels ; ,TRUE
RU7bd3h2f6pBlf8BfAyxGQ,Atlantis,5,2,NA,FALSE
3WFnzu8D6S_T7guXZIOp7A,The Bauer Bakery & Cafe,3.5,2,Food ; Coffee & Tea ; Cafes ; Restaurants ; ,TRUE
D1NESoG1U9hVG52h7JDu0A,Gameday Sports,3,2,Sporting Goods ; Fashion ; Shopping ; Sports Wear ; ,TRUE
cHf-cu8bmM3gcvONo6B3JA,The Clothesline,3.5,6,Local Services ; Dry Cleaning & Laundry ; ,TRUE
R--rV0fSLevjMwxIH6DEBQ,Sweat Fitness,2.5,18,Active Life ; Gyms ; Trainers ; Fitness & Instruction ; ,TRUE
VE4Vi52enwiPz8SCCSHBxA,Tasty Bagel Cafe,4.5,3,Food ; Bagels ; ,FALSE
TU2HIXtJ1ChIf2J4whGEyw,Spa Connections,3.5,4,Day Spas ; Nail Salons ; Massage ; Beauty and Spas ; ,TRUE
-7jsTZfNIx3Fy72Uc-AMSA,Death Wish Piano Movers,4,5,Movers ; Home Services ; ,TRUE
cWC1aSv6ql0nBzHX_0a6MQ,UCLA Medical Center Cafeteria,3.5,12,Delis ; Restaurants ; ,TRUE
rJHHMEHrnbsX6Y0CSi4Yxg,Douglas Ng  DDS,5,12,Dentists ; Health and Medical ; ,TRUE
BJKIoQa5N2T_oDlLVf467Q,Jasmine Thai,3,52,Thai ; Restaurants ; ,TRUE
vZi4rc_ToK_LVpsP3v0-yA,Momoca,4.5,10,Women's Clothing ; Fashion ; Shopping ; ,FALSE
2KaY2WqWi9A7gVQUXSFRGQ,University Ave Barbershop,4,16,Barbers ; Beauty and Spas ; ,TRUE
jwPmerwJxt53xOv6UdsSvA,Red Roof Inns,1,2,Hotels & Travel ; Event Planning & Services ; Hotels ; ,TRUE
cmTtaP3LeApvz61W94Lvhg,Hot Dogs & Brew,5,2,Gastropubs ; Restaurants ; Hot Dogs ; ,TRUE
J2r4vJgdOJiDvUdQFSS9qQ,Wish Salon,3.5,3,Hair Salons ; Beauty and Spas ; ,TRUE
n9KSfii0GCOJOhDJLAXJ7Q,Alexi's Diner,3.5,24,Breakfast & Brunch ; Diners ; Restaurants ; ,TRUE
9m5s_UB5SZCz56hrONB43Q,Pho D'Lite,4,10,Asian Fusion ; Restaurants ; ,TRUE
V2iy6yakrK_AntVK8R7bEA,Savvy Properties,4,7,Property Management ; Home Services ; Real Estate ; Apartments ; ,TRUE
_A4YqG4TqZvCjBUNK-sSxw,Hyattsville Library,3.5,2,Libraries ; Public Services & Government ; ,TRUE
8SqxzaPVVBTIxrbJKZwDxg,Love Balls,4,96,Food Stands ; Japanese ; Restaurants ; ,TRUE
8lLs3dsSN-Am2_EtNfbXqA,Community Food & Juice,3.5,346,Breakfast & Brunch ; American (New) ; Restaurants ; ,TRUE
Zc3hqSZHkuELzpyRmv6nrQ,Iron Post,3,14,Bars ; Nightlife ; ,TRUE
wz3GFJrL92IqJWCE9v-BKA,Hon Sushi,4,2,NA,TRUE
92rpAUG_KI8lndU5obe1Uw,Jj Land Co,3,4,Home Services ; Real Estate ; Apartments ; ,TRUE
hGbtJYVdJ-EYSgXdGvps6g,Red Oak Diner & Bakery,3.5,9,Diners ; Restaurants ; ,TRUE
dP-icsN34lMu6zo9A--1SA,Papyrus,4.5,3,Cards & Stationery ; Arts & Crafts ; Flowers & Gifts ; Shopping ; Event Planning & Services ; ,TRUE
dpqv-Gy6RLXXGnNrGZjOYw,Ned's Pizza,4.5,4,Pizza ; Restaurants ; ,TRUE
NZ3A0xYdnmIG68mZeZV6AA,Bunny's Tavern,4,13,Dive Bars ; Bars ; American (Traditional) ; Nightlife ; Restaurants ; ,TRUE
Y8C2FuA0Aiy7uMgXXa3HUg,Depot Barber Shop the,4.5,2,Barbers ; Beauty and Spas ; ,TRUE
XdZMqJbl-oWA_x0F_q5I_A,Princeton University Art Museum,4.5,12,Arts & Entertainment ; Art Galleries ; Shopping ; ,TRUE
GXcX7pE3hNQoKqANf2im0A,Econo Lodge Ithaca,1,6,Hotels & Travel ; Event Planning & Services ; Hotels ; ,TRUE
CGQaOhJEQAbvdIE67CHr1Q,Crossroads Cigars,4,2,Tobacco Shops ; Shopping ; ,TRUE
2b6BvccVTtPwElQreRtFYw,Drinker's West,3.5,61,Bars ; Sports Bars ; Nightlife ; Gastropubs ; Tex-Mex ; Restaurants ; ,TRUE
Syiv-lUfj0iScV4Aw9yWaA,20 Toes Cat Sitting,5,3,Pet Services ; Pets ; ,TRUE
T6YKL1wsPRfRhvseX9uNyQ,Chassom Tea Salon,5,4,Food ; Doctors ; Health and Medical ; Naturopathic/Holistic ; Tea Rooms ; ,FALSE
oMWoEXLdPEn5HKyQR4-Ssg,Moses Falafel,4.5,18,Food ; Street Vendors ; ,TRUE
aIlV9fry1fEYsybM_4K5rQ,Thomas H Lange  DDS,4.5,6,Health and Medical ; Dentists ; General Dentistry ; Cosmetic Dentists ; ,TRUE
kXC-xNb0P3kq7GOaGrazKw,Jouni's Cafe,4.5,2,Cafes ; Restaurants ; ,TRUE
UqxMeWY3k8_TYGucik-OKA,Gene Juarez Salons & Spas,4,29,Hair Salons ; Day Spas ; Massage ; Beauty and Spas ; ,TRUE
FfhOTfIUtMpMTj26EqQg8Q,Fractured Prune,4,5,Food ; Donuts ; ,FALSE
c_yxtSZNaxXAekgAPNW0Cg,Ithaca Falls,4.5,4,Local Flavor ; ,TRUE
tUl7-7sFCX4Y_JJ9m3qbNA,Ashline Moving & Storage Co,3,2,Movers ; Home Services ; ,TRUE
Q396im01LW4sgl2xNC3Fpg,University Press Books,4.5,16,Books  Mags  Music and Video ; Shopping ; Bookstores ; ,TRUE
qIWIti6Putx8E2MZvrmNGQ,Staples the Office Superstore,2,2,Local Services ; Printing Services ; Shopping ; Office Equipment ; ,TRUE
oBN5nMW17Dgrubfehja5qA,Locust On the Park,1,2,Home Services ; Real Estate ; Apartments ; ,TRUE
ZNJKyj1eGFWT3nSBLdTaLA,Beltway Plaza Hardware,4.5,2,Hardware Stores ; Shopping ; Home & Garden ; ,TRUE
UJw-KnIdnzwbvxzNvIUhgw,Currito,3,8,Fast Food ; Restaurants ; ,TRUE
FTdSPMbBw11SFswvFPgJ5Q,UCSD Rimac Arena,2.5,16,Music Venues ; Arts & Entertainment ; Event Planning & Services ; Venues & Event Spaces ; Nightlife ; ,TRUE
3ObFdIz5ZQA2E_flzVYDgw,Flipp Salon & Apothecary,5,13,Hair Salons ; Skin Care ; Beauty and Spas ; ,TRUE
SHflj5Ie7-BeC6aSQFJc9Q,Big Lots,4,3,Department Stores ; Fashion ; Shopping ; Shopping Centers ; ,TRUE
yiR4dDit58T8pYg1GMvO3Q,Pinkberry,3.5,53,Food ; Ice Cream & Frozen Yogurt ; ,TRUE
 -ZfUYXTphJdZuBTbfodP3Q,Crepes de Paris,4,6,Creperies ; Restaurants ; ,TRUE
75iVE77Z3w_SJbERaLBhbQ,Precision Piercing,5,3,Tattoo ; Piercing ; Beauty and Spas ; ,TRUE
Hy2JzrPyqqHk7ed2g-zWbg,Biltmore Communications,2.5,2,NA,TRUE
oH0S5GrCTOv_btOQd0UrLA,Spencer Gifts,4.5,2,NA,TRUE
CxYMVhOnWQuYaVv7wTAiAg,Sei Bella Salon,5,4,Hair Salons ; Nail Salons ; Hair Removal ; Beauty and Spas ; ,TRUE
W-RJfufcf-GtIPrdyrJ6pQ,roba!dolce,2,5,Food ; Ice Cream & Frozen Yogurt ; Coffee & Tea ; ,FALSE
jFCPJfX3qzfsNaQIyi7-ig,ZO Skin Health Pasadena,5,3,Skin Care ; Medical Spas ; Health and Medical ; Beauty and Spas ; ,TRUE
tnwOUxWjrQeloEsdEzb53Q,Dunn-Edwards Paints,4,2,NA,TRUE
7sBIv30fhszkBsv0kkSBCg,Sonrisa,3,120,Tex-Mex ; Restaurants ; ,TRUE
IU9j37tFH_Dg_8rLkuqDSQ,Sole Restaurant & Wine Bar,4,6,Bars ; Greek ; Mediterranean ; Wine Bars ; Nightlife ; Restaurants ; ,TRUE
iH5a2hXZ0BonJS31n_TwNw,Mosaic at Metro,1.5,3,Home Services ; Real Estate ; Apartments ; ,TRUE
_VVitWVj4AvzqV91O6c1Mw,Cafe Mattina,4,163,Sandwiches ; Restaurants ; ,FALSE
yuMPHKwfxWeaDjjNzSGESA,Pesaro's Pizza,3,2,Pizza ; Restaurants ; ,FALSE
DN9QCQigMZSSeH9yO4r6bg,Sand Point Internists,1.5,2,Doctors ; Health and Medical ; Internal Medicine ; ,TRUE
xkX9SUlI27BDuliNOcuMbg,Sunrise Diner,3.5,21,Diners ; Restaurants ; ,TRUE
xwyJUcRY0hNlLY0PDqZhlA,Panzanella,3.5,47,Breakfast & Brunch ; Pizza ; Restaurants ; ,TRUE
lauGgBNIedEApT-gsNbLAA,Ron Brunick  DDS,5,2,Oral Surgeons ; Dentists ; Health and Medical ; ,TRUE
ZiMpqxXKyiN-zsOqp9Vllw,WREK Radio Station,4.5,8,Mass Media ; Radio Stations ; ,TRUE
y-rxr2D4UEcWK0uRwKNLEg,Lounjin,4,15,Coffee & Tea ; Bars ; Food ; Japanese ; Nightlife ; Restaurants ; ,FALSE
0637qPnv_9upNsjTqA4aYg,MIT Museum,4,67,Museums ; Arts & Entertainment ; ,TRUE
lnpg_iEDbPT2ZOeBhjneow,Earl Scheib Auto Paint Body Collision,3.5,3,Auto Repair ; Automotive ; ,TRUE
dPIsxsqE22IZ-R43NalT0g,Banh Mi Saigon,4.5,30,Restaurants ; Vietnamese ; ,TRUE
hZUAk5fthL27KwuKicliMQ,Penn Dental Center at University City,4.5,2,Dentists ; Health and Medical ; ,TRUE
DFjkBf-0JvCNwh8aaYd1-g,OmZappy,5,6,Women's Clothing ; Fashion ; Shopping ; Jewelry ; ,TRUE
oEP8EQRxILT8svJmALwh6w,The BoatYard Grill,3,44,Seafood ; American (Traditional) ; Restaurants ; ,TRUE
FzVANX7N-FQbUZNfKhFJSg,Wingard Salon,3.5,3,Hair Salons ; Nail Salons ; Beauty and Spas ; ,TRUE
h2YIIoZC9uYmgpn4vT7Zng,Mama Ganache Artisan Chocolates,4.5,16,Specialty Food ; Food ; Chocolatiers and Shops ; ,TRUE
3-A0nQLO5utUk9gwSwvcuA,Romantix,2,2,Flowers & Gifts ; Shopping ; ,TRUE
xk_sdpCQVikfiouEvXhxkQ,Creative Loafing,3,6,Print Media ; Mass Media ; ,TRUE
IVenYICiQs5nv9cZkqCD5w,All In One Jewelry Experts,2,4,Shopping ; Jewelry ; ,TRUE
qLSAFVz8MdF8GJ5UGtg_mg,The Venue On Guadalupe,3,6,Home Services ; Real Estate ; Apartments ; ,TRUE
XrqownLHKAzfQwJl-spFeQ,Yummyaki Japanese Restaurant,4,6,Japanese ; Restaurants ; ,TRUE
T1ugJiVm210G_4QvmQCz1g,Berwyn Cafe,4,22,Vegetarian ; Restaurants ; ,FALSE
PyIJ8OEfltYaHWJaIwUF2Q,Grace Kitchen,2.5,125,American (Traditional) ; Restaurants ; ,FALSE
Mg1CS5aRT_eV4qaGpEvnIQ,California Pizza Kitchen,3,152,Pizza ; Restaurants ; ,TRUE
50y29SCG_vhtZy4T75hjsg,Petali Flowers,4.5,13,Flowers & Gifts ; Shopping ; Florists ; ,TRUE
HYzPCEgsLDtgJ9vQtERdxA,Farrell Smyth  Inc.,1,6,Property Management ; Home Services ; Real Estate ; ,TRUE
IQpohksufCBmGJYZCsZf7g,Quicky Smog Test Only & Regular,4.5,30,Automotive ; Smog Check Stations ; ,TRUE
N-urZV7AHwkI2oavPqJDtQ,Hampshire Community Yellow Bike Program,3.5,2,Local Services ; Active Life ; Community Service/Non-Profit ; Bike Rentals ; ,TRUE
15YzmE7eR42WLsKCoWtOTg,Merrill Lynch,5,2,NA,TRUE
IdKD1fNtf80lhyP5Ldr_rw,DARCARS Nissan of College Park,2.5,6,Auto Repair ; Automotive ; Car Dealers ; ,TRUE
OdopTmxrlxldE4UINKVhFw,Grad Center Bar,4.5,20,Dive Bars ; Bars ; Nightlife ; Lounges ; ,TRUE
qwy4ECNXVxTirx8zLTk8Jw,Gregory's Optical,4.5,5,Shopping ; Eyewear & Opticians ; ,TRUE
5lOX07_kaaJDKrJD56BFgw,University Catholic Center,4.5,2,Churches ; Religious Organizations ; ,TRUE
kKFUNcLklJ54zZNUk-7yjQ,Gullifty's Restaurant,3,51,Food ; Desserts ; American (New) ; Restaurants ; ,TRUE
x_HjoEGn6a1jo-soBQJf9Q,Michigan Theater,4.5,40,Arts & Entertainment ; Cinema ; Performing Arts ; Event Planning & Services ; Venues & Event Spaces ; ,TRUE
khdkBG4SetzbtvkGZpyGTQ,Subway,3,2,Delis ; Restaurants ; ,TRUE
Zb22gjD3m_MwFRB6Ay-QOw,HAI HONG,3.5,3,NA,TRUE
X_1PaKwj4GhqwZ9Fi22WRA,Homewood Suites,4.5,2,Hotels & Travel ; Event Planning & Services ; Hotels ; ,TRUE
sm15YgK4ubMLq11d2whkYQ,Borseno's Barber Shop,4,31,Hair Salons ; Barbers ; Tanning ; Beauty and Spas ; ,FALSE
7AlULGZI1pHt0imODsqdkg,Potbelly Sandwich Works,4.5,17,Sandwiches ; Restaurants ; ,TRUE
Dbph47k1l-u8G5n04JuXBg,Thomas Mattimore  MD,5,5,Doctors ; Health and Medical ; Internal Medicine ; ,TRUE
4Mxc95eqsqvrMXJOSp51bw,Newsbox Etc,2.5,2,Food ; Convenience Stores ; ,TRUE
3S1_y9oueDsvvZufCwptIQ,Leslie Windman  BCAO,3,2,Health and Medical ; Chiropractors ; ,TRUE
B4XBd2EsP49XSThU4Cvmrg,Channing Real Estate,2.5,3,Real Estate Services ; Property Management ; Home Services ; Real Estate ; ,TRUE
ePpchMyJFt9F-oKEHh1WXg,S3 Safe Sex Store,4,9,Health and Medical ; Education ; Shopping ; Adult ; ,TRUE
Pb0vN4yPgwXn2TOS1ptjjg,Harvard Square Cafe,2.5,65,American (New) ; Restaurants ; ,FALSE
Cd_JVOq_cBueqB9q3X0rkQ,Ginza & Co,4,3,Flowers & Gifts ; Shopping ; Florists ; ,TRUE
0neJ-fo4UDYJN5GAag3DEw,Bayking Doughnuts & Pastries,3,34,Food ; Bakeries ; ,TRUE
HoLltXQfn_vK-LS4VP3wCw,Love Goat,3.5,3,Bars ; Nightlife ; ,TRUE
yxjiPZIbWcIOSwOrc1_RSA,Juicy Couture,3.5,9,Women's Clothing ; Fashion ; Shopping ; ,TRUE
MXWSVpWoHq0-29bLt-j9qA,Hi-D-Ho Dog Training,3,2,Pet Services ; Pets ; ,TRUE
lsjRpOCkNvgduR8-YAUJJQ,Dr. Grubb's,4.5,153,American (Traditional) ; Restaurants ; ,TRUE
8fOGgn8aNrJmAObOd7nxmg,Bulldog Postal,2.5,6,Post Offices ; Public Services & Government ; ,TRUE
I3Mzzi5jLiy56ameiG-FIg,Gynecology Specialists of Philadelphia,3.5,11,Doctors ; Health and Medical ; Obstetricians and Gynecologists ; ,TRUE
WDxidvOxya-tGcJldNZElg,The Library,3,53,Bars ; Nightlife ; ,TRUE
rJsSNcvbnpYTMYz5JXktOQ,Evans  Piggott & Finney Eye Care,4.5,3,Optometrists ; Health and Medical ; ,TRUE
P_7A5Ztw4Pwizpdqfx-G-Q,Noodle Planet,3,396,Thai ; Asian Fusion ; Restaurants ; ,FALSE
EAcuimBT8oua2XKLC0UpLA,The Stable,4,19,Bars ; Gay Bars ; Nightlife ; ,TRUE
gWKUg9L0cWkGRsa1ztN72A,Jimmy's Shoe Repair,4.5,41,Local Services ; Shoe Repair ; ,TRUE
lQENQYvnL7JOpvfMogDA_Q,Valley Thrift Shop,3,3,Thrift Stores ; Shopping ; ,TRUE
C8Y9hSU5VjQLNH9rRGKJLQ,Leopold Murphy and Main  DDS,4,6,Dentists ; Cosmetic Dentists ; Health and Medical ; ,TRUE
Ryt1Fhgz7sixMQSJiLyP_g,Zocalo,3,53,Mexican ; Restaurants ; ,TRUE
kg55k4eCSpTH5uoIOjNPtQ,St Austin Catholic Church,4.5,8,Religious Organizations ; ,TRUE
AYuAIf2KkIUF8HaMyorwzQ,Spiaks Restaurant,4,9,Italian ; Restaurants ; ,TRUE
9oKaebSlAZPDhniHdkZTSQ,Tower Records-Video-Books,2,2,Videos and Video Game Rental ; Books  Mags  Music and Video ; Shopping ; Music & DVDs ; ,FALSE
Hp3hFrjuu4nHz5sNkgbZbA,Pines,2.5,7,American (Traditional) ; Restaurants ; ,TRUE
IxopnFY3N31qMErNHaRTGg,Lei's Auto & Collision Service Center,4,12,Auto Repair ; Automotive ; Body Shops ; ,TRUE
60f6JzTRhOyOggsjCfvh5Q,Hana Sushi,1.5,6,Sushi Bars ; Japanese ; Restaurants ; ,TRUE
ch1ercqwoNLpQLxpTb90KQ,Boston Tea Stop,4,243,Food ; Coffee & Tea ; Juice Bars & Smoothies ; ,TRUE
gCaIfAJ93W6fvmKuasF6Xw,House of Teriyaki,3.5,18,Korean ; Japanese ; Restaurants ; ,TRUE
jfZXp0POls-M2cgSxsS8fw,Asian Bistro,2.5,12,Asian Fusion ; Restaurants ; ,TRUE
GZOJJ32d6E1M-IZ0TtZ8gw,House of Saigon,3.5,11,Vietnamese ; Chinese ; Restaurants ; ,FALSE
E4gLWrcaO9GGhWq3cknKzg,Rainier Copy and Print,5,31,Local Services ; Professional Services ; Printing Services ; Graphic Design ; ,TRUE
SGlowZEhllX_NqwQIpIzaQ,Chipotle Mexican Grill,3,6,Food ; ,TRUE
K6AKMjAdCSe8xllsbyeL9Q,Asia Tea House,4,2,Food ; Tea Rooms ; Chinese ; Restaurants ; ,TRUE
eGE5Am6pxkMTgJ7tL0qG-w,Pasadena Premier Dermatology,4.5,19,Dermatologists ; Doctors ; Health and Medical ; ,TRUE
ewLhqv5In6PhmSzPDu8riw,Mosaique Day Spa-Salon,4,15,Hair Salons ; Day Spas ; Massage ; Beauty and Spas ; ,TRUE
V92ePy2VVqDfy1RSsjKW6w,USPS Post Office,1,2,Post Offices ; Public Services & Government ; ,TRUE
LJuHxobQsa7lW0c1wttY2A,Rack & Soul,3.5,142,Soul Food ; Southern ; Restaurants ; ,TRUE
RaE9ir386tfLGwtDN9W6QA,Chipotle,3.5,191,Mexican ; Restaurants ; ,TRUE
OpNrObgtHgYijZYOU0yF-Q,Joe Mama's Italian Deluxe,2.5,44,Italian ; Restaurants ; ,TRUE
KIpFfgli70e66WWb8kcW_g,Sweet Pepper Grill,4.5,11,American (New) ; Restaurants ; ,FALSE
DWFaxnDtfWzYytO8n_xBFA,Pita Pit,3,41,Greek ; Mediterranean ; Restaurants ; ,TRUE
of2yfWnwt2f2ml4By2xbKA,CK Mini Market,4,5,Food ; Convenience Stores ; ,TRUE
3GzfH-thOl-eJiVeK4d3VA,Sprouts Farmer's Market,4,63,Food ; Grocery ; Farmers Market ; ,TRUE
2DEz094o_CZQo2m_rQSoqw,Boom Noodle,3,175,Japanese ; Restaurants ; ,TRUE
7zWoldq0uQV73BjoTM3G5w,Allegro Hearth Bakery,4,21,Food ; Bakeries ; ,TRUE
jPbtuDvhEhnQeuG8AU3gBQ,Whole Lot-a Gelata,4,4,Food ; Desserts ; Coffee & Tea ; Ice Cream & Frozen Yogurt ; ,TRUE
58oVEzvF6EnOmvVkXYFkTg,Thai Place Restaurant,3,63,Thai ; Restaurants ; ,TRUE
rYkRvdxHDtRD7EddbIiFKg,WPRB 103.3 FM,5,7,Mass Media ; Radio Stations ; ,TRUE
dFfQWqHyH_lqCpFhNgAhlQ,Cafe Pacific,3.5,16,Japanese ; Restaurants ; ,TRUE
Xr2S-dlyHVYkoSHJEIm9fA,Berkeley City Club,4,85,Hotels & Travel ; Event Planning & Services ; Venues & Event Spaces ; Hotels ; ,TRUE
4dnYY1clI8Z3Oj2oLWVwag,The Daily Grind Espresso Cafe,4,10,Food ; Coffee & Tea ; ,TRUE
